[4463.854490900017, 4463.854490900017]
[4383.686444859671, 4383.686444859671]
[4383.686444859671, 4383.686444859671]
[4383.686444859671, 4383.686444859671]
[4383.686444859671, 4383.686444859671]
[4383.686444859671, 4383.686444859671]
[4383.686444859671, 4383.686444859671]
[4319.313825576466, 4319.313825576466]
[4319.313825576466, 4319.313825576466]
[4278.816639616168, 4278.816639616168]
[4249.423470860839, 4249.423470860839]
[4249.423470860839, 4249.423470860839]
[4228.5510752922455, 4228.5510752922455]
[4210.903458022022, 4210.903458022022]
[4196.311336632867, 4196.311336632867]
[4184.901819159176, 4184.901819159176]
[4162.890881711022, 4162.890881711022]
[4159.090638403883, 4159.090638403883]
[4154.128933742616, 4154.128933742616]
[4147.287519332518, 4147.287519332518]
[4141.387837988739, 4141.387837988739]
[4136.2247587918355, 4136.2247587918355]
[4131.740421322624, 4131.740421322624]
[4127.904611730374, 4127.904611730374]
[4119.733196613504, 4119.733196613504]
[4109.852612590779, 4109.852612590779]
[4105.603269280309, 4105.603269280309]
[4099.15430532582, 4099.15430532582]
[4093.4584493427938, 4093.4584493427938]
[4089.2966964462757, 4089.2966964462757]
[4080.925260952792, 4080.925260952792]
[4080.758783362301, 4080.758783362301]
[4077.4090782943535, 4077.4090782943535]
[4071.6524351007215, 4071.6524351007215]
[4071.1725286368555, 4071.1725286368555]
[4062.8569757041823, 4062.8569757041823]
[4061.8494421578935, 4061.8494421578935]
[4059.89881638593, 4059.89881638593]
[4059.7871424093196, 4059.7871424093196]
[4059.11896340828, 4059.11896340828]
[4052.031246730345, 4052.031246730345]
[4047.5636319383225, 4047.5636319383225]
[4046.0707626408303, 4046.0707626408303]
[4046.0707626408303, 4046.0707626408303]
[4046.0707626408303, 4046.0707626408303]
[4046.0707626408303, 4046.0707626408303]
[4046.0707626408303, 4046.0707626408303]
[4046.0707626408303, 4046.0707626408303]
[4046.0707626408303, 4046.0707626408303]
[4046.0707626408303, 4046.0707626408303]
[4037.815576412643, 4037.815576412643]
[4034.6324436500686, 4034.6324436500686]
[4033.023915200243, 4033.023915200243]
[4023.3206225448675, 4023.3206225448675]
[4021.9879243376713, 4021.9879243376713]
[4013.5573003404465, 4013.5573003404465]
[4012.619143543879, 4012.619143543879]
[4012.0581693893114, 4012.0581693893114]
[4011.4980851871014, 4011.4980851871014]
[4008.6194716775562, 4008.6194716775562]
[4008.51422345032, 4008.51422345032]
[4007.737499216662, 4007.737499216662]
[3991.8056726567206, 3991.8056726567206]
[3977.5533616225784, 3977.5533616225784]
[3977.2651524863777, 3977.2651524863777]
[3964.7351608938584, 3964.7351608938584]
[3964.5791338408008, 3964.5791338408008]
[3960.275287597286, 3960.275287597286]
[3955.360353793241, 3955.360353793241]
[3951.459700423727, 3951.459700423727]
[3951.3829506665415, 3951.3829506665415]
[3950.4630307005154, 3950.4630307005154]
[3942.333648921927, 3942.333648921927]
[3941.3690937778497, 3941.3690937778497]
[3939.208509696773, 3939.208509696773]
[3938.9606833143266, 3938.9606833143266]
[3932.5251775910174, 3932.5251775910174]
[3931.7282679665454, 3931.7282679665454]
[3926.037818959129, 3926.037818959129]
[3925.9225213202935, 3925.9225213202935]
[3920.7850971127364, 3920.7850971127364]
[3920.1834894728254, 3920.1834894728254]
[3915.7600981851906, 3915.7600981851906]
[3915.1130006755116, 3915.1130006755116]
[3911.3046779113383, 3911.3046779113383]
[3907.8546893799, 3907.8546893799]
[3904.091692465633, 3904.091692465633]
[3900.55929943757, 3900.55929943757]
[3898.8652663136154, 3898.8652663136154]
[3897.022898131328, 3897.022898131328]
[3894.061582479975, 3894.061582479975]
[3893.0101299042103, 3893.0101299042103]
[3889.7317277513703, 3889.7317277513703]
[3889.6826386031366, 3889.6826386031366]
[3888.25579171665, 3888.25579171665]
[3885.4761298571, 3885.4761298571]
[3884.326415787957, 3884.326415787957]
[3867.632031027945, 3867.632031027945]
[3867.632031027945, 3867.632031027945]
